source,slug,institution,news_partnership,story_count,corpus_file
LSU Manship School Statehouse Bureau,lsu-manship-school-statehouse-bureau,Louisiana State University,1,58,publication_corpora/lsu-manship-school-statehouse-bureau.txt
The Eudora Times,the-eudora-times,University of Kansas,1,58,publication_corpora/the-eudora-times.txt
Howard University News Service,howard-university-news-service,Howard University,1,54,publication_corpora/howard-university-news-service.txt
The Macon Newsroom,the-macon-newsroom,Mercer University,1,54,publication_corpora/the-macon-newsroom.txt
The Houstonian,the-houstonian,Sam Houston State University,1,53,publication_corpora/the-houstonian.txt
The Northerner,the-northerner,Northern Kentucky University,0,52,publication_corpora/the-northerner.txt
Arizona Sonoran News,arizona-sonoran-news,University of Arizona,1,50,publication_corpora/arizona-sonoran-news.txt
The Beacon,the-beacon,Wilkes University,0,10,publication_corpora/the-beacon.txt
The Beacon-MC,the-beacon,Merrimack College,0,30,publication_corpora/the-beacon.txt
The Beacon-WP,the-beacon,William Paterson University of New Jersey,0,10,publication_corpora/the-beacon.txt
The Globe GGC,the-globe-ggc,Georgia Gwinnett College,0,50,publication_corpora/the-globe-ggc.txt
The Outlook,the-outlook,Monmouth University,0,50,publication_corpora/the-outlook.txt
The Quad: Student News Service of WCU,the-quad-student-news-service-of-wcu,West Chester University of Pennsylvania,0,50,publication_corpora/the-quad-student-news-service-of-wcu.txt
The Rensselaer Polytechnic,the-rensselaer-polytechnic,Rensselaer Polytechnic Institute,0,50,publication_corpora/the-rensselaer-polytechnic.txt
The Review,the-review,University of Delaware,0,50,publication_corpora/the-review.txt
CNS Maryland,cns-maryland,University of Maryland-College Park,1,48,publication_corpora/cns-maryland.txt
Easton Courier,easton-courier,Sacred Heart University,1,48,publication_corpora/easton-courier.txt
Great Lakes Echo,great-lakes-echo,Michigan State University,1,48,publication_corpora/great-lakes-echo.txt
The Clarion,the-clarion,Bethel University,0,10,publication_corpora/the-clarion.txt
The Clarion-MATC,the-clarion,Madison Area Technical College,0,20,publication_corpora/the-clarion.txt
The Clarion-SCC,the-clarion,Sinclair Community College,0,18,publication_corpora/the-clarion.txt
The Southern Accent,the-southern-accent,Southern Adventist University,1,47,publication_corpora/the-southern-accent.txt
South Jersey Climate News,south-jersey-climate-news,"Rowan University, Atlantic Cape Community College",1,46,publication_corpora/south-jersey-climate-news.txt
www.dailygazette.com - RSS Results in spotlightnews of type article,www-dailygazette-com-rss-results-in-spotlightnews-of-type-article,DROP,,46,publication_corpora/www-dailygazette-com-rss-results-in-spotlightnews-of-type-article.txt
9th Street Journal,9th-street-journal,Duke University,1,45,publication_corpora/9th-street-journal.txt
University Times,university-times,University of Pittsburgh,0,45,publication_corpora/university-times.txt
Politics & Policy Archives - Cronkite News,politics-policy-archives-cronkite-news,Arizona State University,1,44,publication_corpora/politics-policy-archives-cronkite-news.txt
www.jackcentral.org - RSS Results of type article,www-jackcentral-org-rss-results-of-type-article,Northern Arizona University,0,44,publication_corpora/www-jackcentral-org-rss-results-of-type-article.txt
The Cougar,the-cougar,University of Houston,0,43,publication_corpora/the-cougar.txt
The Legislative Gazette,the-legislative-gazette,State University of New York at New Paltz,1,43,publication_corpora/the-legislative-gazette.txt
Columbia News Service,columbia-news-service,Columbia University in the City of New York,1,42,publication_corpora/columbia-news-service.txt
Legislative Reporting Project,legislative-reporting-project,University of Minnesota-Twin Cities,1,40,publication_corpora/legislative-reporting-project.txt
The Chimes,the-chimes,Biola University,0,30,publication_corpora/the-chimes.txt
The Chimes-CU,the-chimes,Capital University,0,10,publication_corpora/the-chimes.txt
The Flyer,the-flyer,Lewis University,0,20,publication_corpora/the-flyer.txt
The Flyer-SU,the-flyer,Salisbury University,0,20,publication_corpora/the-flyer.txt
The Oracle,the-oracle,Hamline University,0,10,publication_corpora/the-oracle.txt
The Oracle-TnT,the-oracle,Tennessee Technological University,0,10,publication_corpora/the-oracle.txt
The Oracle-USF,the-oracle,University of South Florida,0,10,publication_corpora/the-oracle.txt
The Oracle-OR,the-oracle,Oral Roberts University,0,10,publication_corpora/the-oracle.txt
The Sentinel,the-sentinel,Kennesaw State University,0,10,publication_corpora/the-sentinel.txt
The Sentinel-RU,the-sentinel,Rockhurst University,0,10,publication_corpora/the-sentinel.txt
The Sentinel-NIC,the-sentinel,North Idaho College,0,10,publication_corpora/the-sentinel.txt
The Sentinel-John Jay,the-sentinel,CUNY John Jay College of Criminal Justice,0,10,publication_corpora/the-sentinel.txt
The Spectator,the-spectator,McPherson College,0,10,publication_corpora/the-spectator.txt
The Spectator-CUc,the-spectator,Concordia University-Chicago,0,10,publication_corpora/the-spectator.txt
The Spectator-SU,the-spectator,Seattle University,0,10,publication_corpora/the-spectator.txt
The Spectator-UWec,the-spectator,University of Wisconsin-Eau Claire,0,10,publication_corpora/the-spectator.txt
The Stanford Daily,the-stanford-daily,Stanford University,0,40,publication_corpora/the-stanford-daily.txt
www.westernherald.com - RSS Results of type article,www-westernherald-com-rss-results-of-type-article,Western Michigan University,0,40,publication_corpora/www-westernherald-com-rss-results-of-type-article.txt
www.cowleycollegemedia.com - RSS Results of type article,www-cowleycollegemedia-com-rss-results-of-type-article,Cowley County Community College,0,39,publication_corpora/www-cowleycollegemedia-com-rss-results-of-type-article.txt
Noticiero Movil,noticiero-movil,University of Nevada-Reno,1,38,publication_corpora/noticiero-movil.txt
The Scope,the-scope,Northeastern University,1,37,publication_corpora/the-scope.txt
Gaylord News,gaylord-news,University of Oklahoma,1,36,publication_corpora/gaylord-news.txt
The Brown Daily Herald: Top Stories,the-brown-daily-herald-top-stories,Brown University,0,35,publication_corpora/the-brown-daily-herald-top-stories.txt
The Hitchcock Project for Visualizing Science,the-hitchcock-project-for-visualizing-science,University of Nevada-Reno,1,35,publication_corpora/the-hitchcock-project-for-visualizing-science.txt
The Long Island Advocate,the-long-island-advocate,Hofstra University,1,35,publication_corpora/the-long-island-advocate.txt
The Paw Print,the-paw-print,Lehigh Carbon Community College,0,20,publication_corpora/the-paw-print.txt
The Paw Print-ASU,the-paw-print,Adams State University,0,15,publication_corpora/the-paw-print.txt
Blot,blot,University of Idaho,0,34,publication_corpora/blot.txt
Institute for Public Service Reporting – Memphis,institute-for-public-service-reporting-memphis,University of Memphis,1,33,publication_corpora/institute-for-public-service-reporting-memphis.txt
Medill Illinois News Bureau,medill-illinois-news-bureau,Northwestern University,1,33,publication_corpora/medill-illinois-news-bureau.txt
The Cedar Falls News Hub,the-cedar-falls-news-hub,University of Northern Iowa,1,32,publication_corpora/the-cedar-falls-news-hub.txt
Collegiate News Service,collegiate-news-service,Chapman University,1,31,publication_corpora/collegiate-news-service.txt
Fresh Take Florida,fresh-take-florida,University of Florida,1,30,publication_corpora/fresh-take-florida.txt
IPM Newsroom,ipm-newsroom,University of Illinois Urbana-Champaign,0,30,publication_corpora/ipm-newsroom.txt
New Mexico News Port,new-mexico-news-port,University of New Mexico-Main Campus,1,30,publication_corpora/new-mexico-news-port.txt
News Feed,news-feed,University of Florida,1,30,publication_corpora/news-feed.txt
Pipe Dream,pipe-dream,Binghamton University,0,30,publication_corpora/pipe-dream.txt
The Baylor Lariat,the-baylor-lariat,Baylor University,0,30,publication_corpora/the-baylor-lariat.txt
The Buccaneer,the-buccaneer,Peninsula College,0,10,publication_corpora/the-buccaneer.txt
The Buccaneer-BU,the-buccaneer,Barry University,0,20,publication_corpora/the-buccaneer.txt
The Charger Bulletin,the-charger-bulletin,University of New Haven,0,30,publication_corpora/the-charger-bulletin.txt
The Forum,the-forum,Westminster University,0,10,publication_corpora/the-forum.txt
The Forum-UAlr,the-forum,University of Arkansas at Little Rock,0,10,publication_corpora/the-forum.txt
The Forum-PVCC,the-forum,Piedmont Virginia Community College,0,10,publication_corpora/the-forum.txt
The Gettysburgian.,the-gettysburgian,Gettysburg College,0,30,publication_corpora/the-gettysburgian.txt
The Horizon,the-horizon,Indiana University Southeast,0,10,publication_corpora/the-horizon.txt
The Horizon-WCC,the-horizon,Whatcom Community College,0,10,publication_corpora/the-horizon.txt
The Horizon-WC,the-horizon,Westmont College,0,10,publication_corpora/the-horizon.txt
The McDaniel Free Press,the-mcdaniel-free-press,McDaniel College,0,30,publication_corpora/the-mcdaniel-free-press.txt
"The Reporting Project – Covering Licking County, Ohio",the-reporting-project-covering-licking-county-ohio,Denison University,1,30,publication_corpora/the-reporting-project-covering-licking-county-ohio.txt
The Summit,the-summit,Stonehill College,0,20,publication_corpora/the-summit.txt
The Summit-GC,the-summit,Grossmont College,0,10,publication_corpora/the-summit.txt
The Torch,the-torch,Roosevelt University,0,10,publication_corpora/the-torch.txt
The Torch-BCC,the-torch,Bergen Community College,0,10,publication_corpora/the-torch.txt
The Torch-St John,the-torch,St. John's University-New York,0,10,publication_corpora/the-torch.txt
The Washtenaw Voice,the-washtenaw-voice,Washtenaw Community College,0,30,publication_corpora/the-washtenaw-voice.txt
The Weekly Ringer,the-weekly-ringer,University of Mary Washington,0,30,publication_corpora/the-weekly-ringer.txt
The Western Carolina Journalist,the-western-carolina-journalist,Western Carolina University,1,30,publication_corpora/the-western-carolina-journalist.txt
Pepperdine Graphic,pepperdine-graphic,Pepperdine University,1,29,publication_corpora/pepperdine-graphic.txt
urcapitalnews,urcapitalnews,University of Richmond,1,29,publication_corpora/urcapitalnews.txt
The Current,the-current,Brookdale Community College,0,10,publication_corpora/the-current.txt
The Current-UMsl,the-current,University of Missouri-St Louis,0,10,publication_corpora/the-current.txt
The Current-GRC,the-current,Green River College,0,10,publication_corpora/the-current.txt
Community News Service,community-news-service,University of Vermont,1,26,publication_corpora/community-news-service.txt
NewsLab,newslab,University of Mississippi,1,26,publication_corpora/newslab.txt
www.isustudentmedia.com - RSS Results in indianastatesman of type article,www-isustudentmedia-com-rss-results-in-indianastatesman-of-type-article,Indiana State University,0,26,publication_corpora/www-isustudentmedia-com-rss-results-in-indianastatesman-of-type-article.txt
Annapolis – CNS Maryland,annapolis-cns-maryland,University of Maryland-College Park,1,25,publication_corpora/annapolis-cns-maryland.txt
Buffalo Review West,buffalo-review-west,SUNY Buffalo State University,1,25,publication_corpora/buffalo-review-west.txt
Delta Digital News Service,delta-digital-news-service,Arkansas State University,1,25,publication_corpora/delta-digital-news-service.txt
Lariat,lariat,Saddleback College,0,25,publication_corpora/lariat.txt
The Argonaut,the-argonaut,University of Idaho,0,25,publication_corpora/the-argonaut.txt
The Exponent,the-exponent,Baldwin Wallace University,0,20,publication_corpora/the-exponent.txt
The Exponent-NSU,the-exponent,Northern State University,0,5,publication_corpora/the-exponent.txt
The Impact,the-impact,Mercy University,0,25,publication_corpora/the-impact.txt
The Lantern,the-lantern,Ohio State University,0,25,publication_corpora/the-lantern.txt
The Oglethorpe Echo,the-oglethorpe-echo,University of Georgia,1,25,publication_corpora/the-oglethorpe-echo.txt
The Pioneer,the-pioneer,Prairie State College,0,10,publication_corpora/the-pioneer.txt
The Pioneer-Cat,the-pioneer,Catawba College,0,5,publication_corpora/the-pioneer.txt
The Pioneer-CSUeb,the-pioneer,California State University-East Bay,0,10,publication_corpora/the-pioneer.txt
The Reflector,the-reflector,Mississippi State University,0,10,publication_corpora/the-reflector.txt
The Reflector-UI,the-reflector,University of Indianapolis,0,15,publication_corpora/the-reflector.txt
Oakland North,oakland-north,University of California-Berkeley,1,24,publication_corpora/oakland-north.txt
The Lumberjack,the-lumberjack,California State Polytechnic University-Humboldt,0,23,publication_corpora/the-lumberjack.txt
CU-CitizenAccess.org,cu-citizenaccess-org,University of Illinois Urbana-Champaign,0,22,publication_corpora/cu-citizenaccess-org.txt
Iowa State Daily,iowa-state-daily,Iowa State University,0,22,publication_corpora/iowa-state-daily.txt
News – The Gettysburgian.,news-the-gettysburgian,Gettysburg College,0,22,publication_corpora/news-the-gettysburgian.txt
DU Media,du-media,University of Denver,1,21,publication_corpora/du-media.txt
The Bronx Journal,the-bronx-journal,CUNY Lehman College,0,21,publication_corpora/the-bronx-journal.txt
The Record,the-record,SUNY Buffalo State University,0,10,publication_corpora/the-record.txt
The Record-GC,the-record,Goshen College,0,1,publication_corpora/the-record.txt
The Record-saints,the-record,"College of Saint Benedict, Saint Johns University",0,10,publication_corpora/the-record.txt
Washington – CNS Maryland,washington-cns-maryland,University of Maryland-College Park,1,21,publication_corpora/washington-cns-maryland.txt
ZU Media,zu-media,Azusa Pacific University,0,21,publication_corpora/zu-media.txt
Belmont Vision,belmont-vision,Belmont University,0,20,publication_corpora/belmont-vision.txt
Blue & Gold Media | Mississippi Christian University,blue-gold-media-mississippi-christian-university,Mississippi College,0,20,publication_corpora/blue-gold-media-mississippi-christian-university.txt
Boston University News Service,boston-university-news-service,Boston University,0,20,publication_corpora/boston-university-news-service.txt
ClaremontIndependent,claremontindependent,The Claremont Colleges,0,20,publication_corpora/claremontindependent.txt
Digital Commons @ Andrews University,digital-commons-andrews-university,DROP,,20,publication_corpora/digital-commons-andrews-university.txt
DigitalCommons@CSP,digitalcommons-csp,DROP,,20,publication_corpora/digitalcommons-csp.txt
Eagle View Blog & Community Media,eagle-view-blog-community-media,NorthWest Arkansas Community College,0,20,publication_corpora/eagle-view-blog-community-media.txt
HSU Oracle - Marketing IA,hsu-oracle-marketing-ia,DROP,,20,publication_corpora/hsu-oracle-marketing-ia.txt
Honolulu Civil Beat,honolulu-civil-beat,University of Hawaii,1,20,publication_corpora/honolulu-civil-beat.txt
Ka Mana'o,ka-mana-o,Leeward Community College,0,20,publication_corpora/ka-mana-o.txt
Lesley College Current,lesley-college-current,DROP,,20,publication_corpora/lesley-college-current.txt
"Liberty alumnus leads security efforts in fight against drugs, illegal weapons, and trafficking in Caribbean nation | Liberty News",liberty-alumnus-leads-security-efforts-in-fight-against-drugs-illegal-weapons-and-trafficking-in-caribbean-nation-liberty-news,Liberty University,0,20,publication_corpora/liberty-alumnus-leads-security-efforts-in-fight-against-drugs-illegal-weapons-and-trafficking-in-caribbean-nation-liberty-news.txt
MUW Spectator,muw-spectator,Mississippi University for Women,0,20,publication_corpora/muw-spectator.txt
Mysite,mysite,Los Angeles Valley College,0,20,publication_corpora/mysite.txt
Old Gold & Black,old-gold-black,Wofford College,0,10,publication_corpora/old-gold-black.txt
Old Gold & Black-WFU,old-gold-black,Wake Forest University,0,10,publication_corpora/old-gold-black.txt
REAL NEWS BY REAL STUDENTS,real-news-by-real-students,California State University-San Bernardino,0,20,publication_corpora/real-news-by-real-students.txt
Reporting Texas,reporting-texas,University of Texas at Austin,1,20,publication_corpora/reporting-texas.txt
Richmond Confidential,richmond-confidential,University of California-Berkeley,1,20,publication_corpora/richmond-confidential.txt
Snow College news,snow-college-news,Snow College,0,20,publication_corpora/snow-college-news.txt
"Student Senate Association, Inc.  PURCHASE PHOENIX",student-senate-association-inc-purchase-phoenix,SUNY at Purchase College,0,20,publication_corpora/student-senate-association-inc-purchase-phoenix.txt
Tejano Tribune,tejano-tribune,El Paso Community College,0,20,publication_corpora/tejano-tribune.txt
The Anchor Newspaper,the-anchor-newspaper,Rhode Island College,0,20,publication_corpora/the-anchor-newspaper.txt
The Barnard Bulletin,the-barnard-bulletin,Barnard College,0,20,publication_corpora/the-barnard-bulletin.txt
The Bell Ringer,the-bell-ringer,Augusta University,0,20,publication_corpora/the-bell-ringer.txt
The Bethel Collegian,the-bethel-collegian,Bethel College-North Newton,0,20,publication_corpora/the-bethel-collegian.txt
The Campus,the-campus,Allegheny College,0,10,publication_corpora/the-campus.txt
The Campus-CS,the-campus,College of the Sequoias,0,10,publication_corpora/the-campus.txt
The Campus Chronicle,the-campus-chronicle,Des Moines Area Community College,0,20,publication_corpora/the-campus-chronicle.txt
The Campus Lantern,the-campus-lantern,Eastern Connecticut State University,0,20,publication_corpora/the-campus-lantern.txt
The Campus Magazine,the-campus-magazine,CUNY City College,0,20,publication_corpora/the-campus-magazine.txt
The College Voice,the-college-voice-2,Connecticut College,0,20,publication_corpora/the-college-voice-2.txt
The Collegian - Willamette University Student News,the-collegian-willamette-university-student-news,Willamette University,0,20,publication_corpora/the-collegian-willamette-university-student-news.txt
The Concordian,the-concordian,Concordia College at Moorhead,0,20,publication_corpora/the-concordian.txt
The Connector,the-connector,Savannah College of Art and Design,0,10,publication_corpora/the-connector.txt
The Connector-UMassL,the-connector,University of Massachusetts-Lowell,0,10,publication_corpora/the-connector.txt
The Crimson White,the-crimson-white,The University of Alabama,0,20,publication_corpora/the-crimson-white.txt
The Daily Campus,the-daily-campus,Southern Methodist University,0,10,publication_corpora/the-daily-campus.txt
The Daily Campus-Uconn,the-daily-campus,University of Connecticut,0,10,publication_corpora/the-daily-campus.txt
The Daily Eastern News,the-daily-eastern-news,Eastern Illinois University,0,20,publication_corpora/the-daily-eastern-news.txt
The Daily Illini,the-daily-illini,University of Illinois Urbana-Champaign,0,20,publication_corpora/the-daily-illini.txt
The Daily Northwestern,the-daily-northwestern,Northwestern University,0,20,publication_corpora/the-daily-northwestern.txt
The Daily Texan,the-daily-texan,University of Texas at Austin,0,20,publication_corpora/the-daily-texan.txt
The Dominion Post,the-dominion-post,DROP,,20,publication_corpora/the-dominion-post.txt
The Gatepost,the-gatepost,Framingham State University,0,20,publication_corpora/the-gatepost.txt
The Graceland Buzz,the-graceland-buzz,Graceland University-Lamoni,0,20,publication_corpora/the-graceland-buzz.txt
The Hawkeye,the-hawkeye,Hillsborough Community College,0,10,publication_corpora/the-hawkeye.txt
The Hawkeye-ULm,the-hawkeye,University of Louisiana at Monroe,0,10,publication_corpora/the-hawkeye.txt
The Herald at HWC,the-herald-at-hwc,City Colleges of Chicago-Harold Washington College,0,20,publication_corpora/the-herald-at-hwc.txt
The Leader,the-leader,SUNY at Fredonia,0,10,publication_corpora/the-leader.txt
The Leader-EU,the-leader,Elmhurst University,0,10,publication_corpora/the-leader.txt
The MIT Tech,the-mit-tech,Massachusetts Institute of Technology,0,20,publication_corpora/the-mit-tech.txt
The Michigan Daily,the-michigan-daily,University of Michigan,0,20,publication_corpora/the-michigan-daily.txt
The Monmouth College Courier,the-monmouth-college-courier,Monmouth College,0,20,publication_corpora/the-monmouth-college-courier.txt
The Mountain Echo,the-mountain-echo,Mount St. Mary's University,0,20,publication_corpora/the-mountain-echo.txt
The Panther Newspaper,the-panther-newspaper,Clark Atlanta University,0,20,publication_corpora/the-panther-newspaper.txt
The Patriot,the-patriot,Francis Marion University,0,10,publication_corpora/the-patriot.txt
The Patriot-UC,the-patriot,University of the Cumberlands,0,10,publication_corpora/the-patriot.txt
The Pine Needle,the-pine-needle,University of North Carolina at Pembroke,0,20,publication_corpora/the-pine-needle.txt
The Point,the-point,Fitchburg State University,1,10,publication_corpora/the-point.txt
The Point-PLNU,the-point,Point Loma Nazarene University,0,10,publication_corpora/the-point.txt
The Prattler,the-prattler,Pratt Institute-Main,0,20,publication_corpora/the-prattler.txt
The Prospector,the-prospector,Carroll College,0,10,publication_corpora/the-prospector.txt
The Prospector-UTep,the-prospector,The University of Texas at El Paso,0,10,publication_corpora/the-prospector.txt
The Pulse,the-pulse,Messiah University,0,10,The Pulse
The Pulse-UF,the-pulse,The University of Findlay,0,10,The Pulse
The Rambler,the-rambler,Texas Wesleyan University,0,10,publication_corpora/the-rambler.txt
The Rambler-TU,the-rambler,Transylvania University,0,10,publication_corpora/the-rambler.txt
The Regis Highlander,the-regis-highlander,Regis University,0,10,publication_corpora/the-regis-highlander.txt
The Roar,the-roar,Pennsylvania State University,0,10,publication_corpora/the-roar.txt
The Roar-PU,the-roar,Piedmont University,0,10,publication_corpora/the-roar.txt
The Triangle,the-triangle,Drexel University,0,15,publication_corpora/the-triangle.txt
The Triangle-BCd,the-triangle,Bryan College-Dayton,0,5,publication_corpora/the-triangle.txt
The UCSD Guardian,the-ucsd-guardian,University of California-San Diego,0,20,publication_corpora/the-ucsd-guardian.txt
The UIU Collegian,the-uiu-collegian,Upper Iowa University,0,20,publication_corpora/the-uiu-collegian.txt
The Voice,the-voice,Bloomsburg University of Pennsylvania,0,10,publication_corpora/the-voice.txt
The Voice-EOU,the-voice,Eastern Oregon University,0,10,publication_corpora/the-voice.txt
The Wheel,the-wheel,St Catherine University,0,20,publication_corpora/the-wheel.txt
ThePawPrint,thepawprint,Adams State University,0,20,publication_corpora/thepawprint.txt
TommieMedia,tommiemedia,University of St Thomas,0,20,publication_corpora/tommiemedia.txt
UMass Dartmouth’s Student Newspaper,umass-dartmouth-s-student-newspaper,University of Massachusetts-Dartmouth,0,20,publication_corpora/umass-dartmouth-s-student-newspaper.txt
USF Encounter,usf-encounter,University of St Francis,0,20,publication_corpora/usf-encounter.txt
Visions,visions,Passaic County Community College,0,20,publication_corpora/visions.txt
Wilmington Witness,wilmington-witness,Wilmington College,0,20,publication_corpora/wilmington-witness.txt
bmcbeacon,bmcbeacon,Blue Mountain Christian University,0,20,publication_corpora/bmcbeacon.txt
trop,trop,Troy University,0,20,publication_corpora/trop.txt
Canalside Chronicles,canalside-chronicles,SUNY Brockport,1,19,publication_corpora/canalside-chronicles.txt
Logan Center for Urban Investigative Reporting,logan-center-for-urban-investigative-reporting,Temple University,0,18,publication_corpora/logan-center-for-urban-investigative-reporting.txt
The Highlander,the-highlander,Misericordia University,0,10,publication_corpora/the-highlander.txt
The Highlander-Lyon,the-highlander,Lyon College,0,8,publication_corpora/the-highlander.txt
The Columbia Chronicle,the-columbia-chronicle,Columbia College Chicago,0,17,publication_corpora/the-columbia-chronicle.txt
www.easternprogress.com - RSS Results,www-easternprogress-com-rss-results,Eastern Kentucky University,0,17,publication_corpora/www-easternprogress-com-rss-results.txt
CNS TV – CNS Maryland,cns-tv-cns-maryland,University of Maryland-College Park,1,16,publication_corpora/cns-tv-cns-maryland.txt
The Diamondback,the-diamondback,University of Maryland-College Park,0,16,publication_corpora/the-diamondback.txt
WKUHerald.com,wkuherald-com,Western Kentucky University,0,16,publication_corpora/wkuherald-com.txt
Basement Medicine,basement-medicine,Vermont state University-Johnson,0,15,publication_corpora/basement-medicine.txt
Borderzine,borderzine,The University of Texas at El Paso,1,15,publication_corpora/borderzine.txt
LakeVoice - Medium,lakevoice-medium,University of Minnesota-Duluth,0,15,publication_corpora/lakevoice-medium.txt
News - The Daily Illini,news-the-daily-illini,University of Illinois Urbana-Champaign,0,15,publication_corpora/news-the-daily-illini.txt
THE COLLEGE REPORTER,the-college-reporter,Franklin and Marshall College,0,15,publication_corpora/the-college-reporter.txt
The Amherst Student,the-amherst-student,Amherst College,0,15,publication_corpora/the-amherst-student.txt
The Augustana Mirror,the-augustana-mirror,Augustana University,0,15,publication_corpora/the-augustana-mirror.txt
The Bulletin,the-bulletin,Emporia State University,0,10,publication_corpora/the-bulletin.txt
The Bulletin-CSUdh,the-bulletin,California State University-Dominguez Hills,0,5,publication_corpora/the-bulletin.txt
The Columns,the-columns,Fairmont State University,0,10,publication_corpora/the-columns.txt
